#At time x process y state arr w total z remain y wait k
At time 6 process 1 started arr 6 total 27 remain 27 wait 0
At time 8 process 1 stopped arr 6 total 27 remain 25 wait 0
At time 8 process 2 started arr 7 total 0 remain 0 wait 1
At time 8 process 2 finished arr 7 total 0 remain 0 wait 1 TA 1 WTA = inf
At time 8 process 1 resumed arr 6 total 27 remain 25 wait 0
At time 10 process 1 stopped arr 6 total 27 remain 23 wait 0
At time 10 process 3 started arr 10 total 7 remain 7 wait 0
At time 12 process 3 stopped arr 10 total 7 remain 5 wait 0
At time 12 process 1 resumed arr 6 total 27 remain 23 wait 2
At time 14 process 1 stopped arr 6 total 27 remain 21 wait 2
At time 14 process 3 resumed arr 10 total 7 remain 5 wait 2
At time 16 process 3 stopped arr 10 total 7 remain 3 wait 2
At time 16 process 1 resumed arr 6 total 27 remain 21 wait 4
At time 18 process 1 stopped arr 6 total 27 remain 19 wait 4
At time 18 process 3 resumed arr 10 total 7 remain 3 wait 4
At time 20 process 3 stopped arr 10 total 7 remain 1 wait 4
At time 20 process 1 resumed arr 6 total 27 remain 19 wait 6
At time 22 process 1 stopped arr 6 total 27 remain 17 wait 6
At time 22 process 4 started arr 20 total 16 remain 16 wait 2
At time 24 process 4 stopped arr 20 total 16 remain 14 wait 2
At time 24 process 3 resumed arr 10 total 7 remain 1 wait 8
At time 25 process 3 finished arr 10 total 7 remain 0 wait 8 TA 15 WTA = 2.14
At time 25 process 1 resumed arr 6 total 27 remain 17 wait 9
At time 27 process 1 stopped arr 6 total 27 remain 15 wait 9
At time 27 process 5 started arr 24 total 22 remain 22 wait 3
At time 29 process 5 stopped arr 24 total 22 remain 20 wait 3
At time 29 process 4 resumed arr 20 total 16 remain 14 wait 7
At time 31 process 4 stopped arr 20 total 16 remain 12 wait 7
At time 31 process 6 started arr 27 total 7 remain 7 wait 4
At time 33 process 6 stopped arr 27 total 7 remain 5 wait 4
At time 33 process 1 resumed arr 6 total 27 remain 15 wait 15
At time 35 process 1 stopped arr 6 total 27 remain 13 wait 15
At time 35 process 5 resumed arr 24 total 22 remain 20 wait 9
At time 37 process 5 stopped arr 24 total 22 remain 18 wait 9
At time 37 process 7 started arr 31 total 12 remain 12 wait 6
At time 39 process 7 stopped arr 31 total 12 remain 10 wait 6
At time 39 process 8 started arr 31 total 24 remain 24 wait 8
At time 41 process 8 stopped arr 31 total 24 remain 22 wait 8
At time 41 process 4 resumed arr 20 total 16 remain 12 wait 17
At time 43 process 4 stopped arr 20 total 16 remain 10 wait 17
At time 43 process 6 resumed arr 27 total 7 remain 5 wait 14
At time 45 process 6 stopped arr 27 total 7 remain 3 wait 14
At time 45 process 1 resumed arr 6 total 27 remain 13 wait 25
At time 47 process 1 stopped arr 6 total 27 remain 11 wait 25
At time 47 process 5 resumed arr 24 total 22 remain 18 wait 19
At time 49 process 5 stopped arr 24 total 22 remain 16 wait 19
At time 49 process 7 resumed arr 31 total 12 remain 10 wait 16
At time 51 process 7 stopped arr 31 total 12 remain 8 wait 16
At time 51 process 8 resumed arr 31 total 24 remain 22 wait 18
At time 53 process 8 stopped arr 31 total 24 remain 20 wait 18
At time 53 process 4 resumed arr 20 total 16 remain 10 wait 27
At time 55 process 4 stopped arr 20 total 16 remain 8 wait 27
At time 55 process 6 resumed arr 27 total 7 remain 3 wait 24
At time 57 process 6 stopped arr 27 total 7 remain 1 wait 24
At time 57 process 1 resumed arr 6 total 27 remain 11 wait 35
At time 59 process 1 stopped arr 6 total 27 remain 9 wait 35
At time 59 process 5 resumed arr 24 total 22 remain 16 wait 29
At time 61 process 5 stopped arr 24 total 22 remain 14 wait 29
At time 61 process 7 resumed arr 31 total 12 remain 8 wait 26
At time 63 process 7 stopped arr 31 total 12 remain 6 wait 26
At time 63 process 8 resumed arr 31 total 24 remain 20 wait 28
At time 65 process 8 stopped arr 31 total 24 remain 18 wait 28
At time 65 process 4 resumed arr 20 total 16 remain 8 wait 37
At time 67 process 4 stopped arr 20 total 16 remain 6 wait 37
At time 67 process 6 resumed arr 27 total 7 remain 1 wait 34
At time 68 process 6 finished arr 27 total 7 remain 0 wait 34 TA 41 WTA = 5.86
At time 68 process 1 resumed arr 6 total 27 remain 9 wait 44
At time 70 process 1 stopped arr 6 total 27 remain 7 wait 44
At time 70 process 5 resumed arr 24 total 22 remain 14 wait 38
At time 72 process 5 stopped arr 24 total 22 remain 12 wait 38
At time 72 process 7 resumed arr 31 total 12 remain 6 wait 35
At time 74 process 7 stopped arr 31 total 12 remain 4 wait 35
At time 74 process 8 resumed arr 31 total 24 remain 18 wait 37
At time 76 process 8 stopped arr 31 total 24 remain 16 wait 37
At time 76 process 4 resumed arr 20 total 16 remain 6 wait 46
At time 78 process 4 stopped arr 20 total 16 remain 4 wait 46
At time 78 process 1 resumed arr 6 total 27 remain 7 wait 52
At time 80 process 1 stopped arr 6 total 27 remain 5 wait 52
At time 80 process 5 resumed arr 24 total 22 remain 12 wait 46
At time 82 process 5 stopped arr 24 total 22 remain 10 wait 46
At time 82 process 7 resumed arr 31 total 12 remain 4 wait 43
At time 84 process 7 stopped arr 31 total 12 remain 2 wait 43
At time 84 process 8 resumed arr 31 total 24 remain 16 wait 45
